cpus=64
    tmpe7c078.sh-3450  [040]   221.742530: sched_process_exec:   filename=/tmp/tmpe7c078.sh pid=3450 old_pid=3450
    tmpe7c078.sh-3450  [040]   221.743726: sched_process_fork:   comm=tmpe7c078.sh pid=3450 child_comm=tmpe7c078.sh child_pid=3451
    tmpe7c078.sh-3450  [040]   221.743733: sched_wakeup_new:     tmpe7c078.sh:3451 [120] CPU:036
    tmpe7c078.sh-3450  [040]   221.743733: sched_wake_idle_without_ipi: cpu=36
    tmpe7c078.sh-3450  [040]   221.743758: sched_switch:         tmpe7c078.sh:3450 [120] S ==> swapper/40:0 [120]
          <idle>-0     [036]   221.743772: sched_switch:         swapper/36:0 [120] R ==> tmpe7c078.sh:3451 [120]
    tmpe7c078.sh-3451  [036]   221.744031: sched_process_fork:   comm=tmpe7c078.sh pid=3451 child_comm=tmpe7c078.sh child_pid=3452
    tmpe7c078.sh-3451  [036]   221.744038: sched_wakeup_new:     tmpe7c078.sh:3452 [120] CPU:046
    tmpe7c078.sh-3451  [036]   221.744038: sched_wake_idle_without_ipi: cpu=46
          <idle>-0     [046]   221.744081: sched_switch:         swapper/46:0 [120] R ==> tmpe7c078.sh:3452 [120]
    tmpe7c078.sh-3451  [036]   221.744166: sched_process_fork:   comm=tmpe7c078.sh pid=3451 child_comm=tmpe7c078.sh child_pid=3453
    tmpe7c078.sh-3451  [036]   221.744171: sched_wakeup_new:     tmpe7c078.sh:3453 [120] CPU:042
    tmpe7c078.sh-3451  [036]   221.744171: sched_wake_idle_without_ipi: cpu=42
          <idle>-0     [042]   221.744217: sched_switch:         swapper/42:0 [120] R ==> tmpe7c078.sh:3453 [120]
    tmpe7c078.sh-3451  [036]   221.744246: sched_process_wait:   comm=tmpe7c078.sh pid=0 prio=120
    tmpe7c078.sh-3451  [036]   221.744249: sched_switch:         tmpe7c078.sh:3451 [120] S ==> swapper/36:0 [120]
    tmpe7c078.sh-3452  [046]   221.744397: sched_process_exit:   comm=tmpe7c078.sh pid=3452 prio=120
    tmpe7c078.sh-3452  [046]   221.744406: sched_waking:         comm=tmpe7c078.sh pid=3451 prio=120 target_cpu=036
    tmpe7c078.sh-3452  [046]   221.744406: sched_wake_idle_without_ipi: cpu=36
          <idle>-0     [036]   221.744408: sched_wakeup:         tmpe7c078.sh:3451 [120] CPU:036
          <idle>-0     [036]   221.744409: sched_switch:         swapper/36:0 [120] R ==> tmpe7c078.sh:3451 [120]
    tmpe7c078.sh-3452  [046]   221.744410: sched_switch:         tmpe7c078.sh:3452 [120] X ==> swapper/46:0 [120]
    tmpe7c078.sh-3451  [036]   221.744415: sched_process_wait:   comm=tmpe7c078.sh pid=0 prio=120
    tmpe7c078.sh-3451  [036]   221.744416: sched_switch:         tmpe7c078.sh:3451 [120] S ==> swapper/36:0 [120]
    tmpe7c078.sh-3453  [042]   221.744604: sched_process_exec:   filename=/usr/bin/tr pid=3453 old_pid=3453
    tmpe7c078.sh-3453  [042]   221.744913: sched_waking:         comm=tmpe7c078.sh pid=3450 prio=120 target_cpu=040
    tmpe7c078.sh-3453  [042]   221.744914: sched_wake_idle_without_ipi: cpu=40
          <idle>-0     [040]   221.744955: sched_wakeup:         tmpe7c078.sh:3450 [120] CPU:040
